sampleid	litter	litter_number	sample	queenName	sample_type	litter_type	timing	queenKitten	kittenID	sample_cat	diarrhoea	treatment	owner	breed	dob	weaning_date	age_weaned_wk	age_weaned_day	date_collected	week	age_wk	age_day	sample +/- weaning	Date_solids_started	wk_solids_started	day_solids_started	nursing+/-	site	medication	mdiet	kdiet	weaning_status	owner2
1	Nala 2020	1	NENN1	Nala	Q	Queen	overnight	Queen	Queen	queen	N	N	FNU	DSH	8/11/2020	4/01/2021	8	57	7/12/2020	1	4	29	-4	7/12/2020	4	29	0	FNU	NA	wet + biscuits	queen	Queen	FNU
2	Seal 2020	2	SENN1	Seal	Q	Queen	fresh	Queen	Queen	queen	N	N	FNU	DSH	4/11/2020	4/01/2021	9	61	3/12/2020	1	4	29	-5	1/12/2020	4	27	0	FNU	NA	wet + biscuits	queen	Queen	FNU
3	Jetty 2021	3	JENN1	Jetty	Q	Queen	fresh	Queen	Queen	queen	N	N	FNU	DSH	11/03/2021	1/06/2021	12	82	14/04/2021	1	5	34	-7	13/04/2021	5	33	0	Hallway kitten room	NA	wet + biscuits	queen	Queen	FNU
4	Nyssa 2021	4	NH21-NN2	Nyssa	Q	Queen	overnight	Queen	Queen	queen	N	N	FNU	DSH	13/08/2021	10/10/2021	8	58	24/09/2021	2	6	42	-2	24/09/2021	6	42	0	Hallway kitten room	NA	wet + biscuits	queen	Queen	FNU
5	ND Ind 1	15	NH4YN7 B	Nyssa	Pw-D	Diarrhoea	fresh	Kitten	4	litter	Y	Y	FNU	DSH	11/03/2019	17/04/2019	5	37	26/04/2019	7	7	46	1	2/04/2019	3	22	3	Qaurintine room	Antibiotics	wet + biscuits	wet + biscuits	weaned	FNU
6	ND Ind 1	15	NH4NY9	Nyssa	W-R	Diarrhoea	fresh	Kitten	4	litter	N	Y	FNU	DSH	11/03/2019	17/04/2019	5	37	7/05/2019	9	8	57	3	2/04/2019	3	22	5	Qaurintine room	Antibiotics	wet + biscuits	wet + biscuits	weaned	FNU
7	ND Ind 1	15	NH?NN6A	Nyssa	Pw-PD	Diarrhoea	overnight	Kitten	litter	litter	N	N	FNU	DSH	11/03/2019	17/04/2019	5	37	17/04/2019	6	5	37	0	2/04/2019	3	22	2	Qaurintine room	NA	wet + biscuits	wet + biscuits	peri-weaning	FNU
8	ND Ind 2	5	KM2YY6	Karuli	Pw-D	Diarrhoea	fresh	Kitten	2	litter	Y	Y	Breeder2	Burmese	21/01/2019	8/04/2019	11	77	18/03/2019	6	8	56	-3	25/02/2019	5	35	3	Genevieve kitten room	Panacur	wet + biscuits	wet + biscuits	peri-weaning	Breeder2
9	ND Ind 2	5	KM2NN10	Karuli	W-R	Diarrhoea	fresh	Kitten	2	litter	N	N	Breeder2	Burmese	21/01/2019	8/04/2019	11	77	15/04/2019	6	12	84	1	25/02/2019	5	35	7	Catery out the back	NA	wet + biscuits	wet + biscuits	weaned	Breeder2
10	ND Ind 2	5	KM?NN4	Karuli	Pw-PD	Diarrhoea	fresh	Kitten	litter	litter	N	N	Breeder2	Burmese	21/01/2019	8/04/2019	11	77	4/03/2019	4	6	42	-5	25/02/2019	5	35	1	Genevieve kitten room	NA	wet + biscuits	wet + biscuits	peri-weaning	Breeder2
